English,Japanese,context
analyse,分析,I must analyse the data.
analysed,"	分析",I analysed the data.
analyser,"	分析する",He is an analyser.
analysers,"	アナライザー",They are analysers.
analyses,"	分析",We found several analyses.
analysing,"	分析",I have been analysing the data.
analysis,"	解析",The analysis was thorough.
analyst,"	アナリスト",The analyst reviewed the data carefully.
analysts,"	アナリスト",They are a data analysts.
analytic,"	分析",She gave an analytic summary of the findings.
analytical,"	分析",He has a very analytical mind.
analytically,"	解析的",He thinks analytically.
analyze,"	分析する",I need to analyze this.
analyzed,"	分析",I analyzed the report.
analyzes,"	分析",We found several analyzes.
analyzing,"	分析",They are analyzing the results.
approach,接近,His approach to the problem was unique.
approachable,"	親しみ やすい",The manager was friendly and approachable.
approached,"	近づいて",He approached the problem thoughtfully.
approaches,"	アプローチ",We found several approaches.
approaching,"	接近",They are approaching the problem thoughtfully.
unapproachable,"	近寄りがたい",He seemed cold and unapproachable.
area,面積,We calculated the area of the triangle.
areas,"	領域",We found several new areas of study.
assess,割り振る,We need to assess the risks first.
assessable,"	課税",Only assessable income was included in the report.
assessed,"	評価",I assessed the report.
assessing,"	評価",They are assessing the results.
assessment,"	査定",The final assessment was based on multiple tests.
assessments,"	評価",We found several assessments.
reassess,"	再評価",We had to reassess our strategy after the meeting.
reassessed,"	再評価",I reassessed the situation.
reassessing,"	再評価",They are reassessing the results.
reassessment,"	再評価","After failing the exam, he asked for a reassessment of his grade."
assume,決め込む,We often assume things without enough evidence.
assumed,"	想定","I assumed I had passed the test but I found out later, I had failed and needed to resit."
assumption,"	仮定",Her assumption turned out to be wrong.
assumptions,"	仮定",We made several assumptions.
authority,"権限	",The manager used his authority to change the schedule.
authoritative,"	儼然",The teacher taught in an authoritative manner.
authorities,"	官憲","When we found the money was gone, we called the authorities."
available,利用できる,Rice is no longer available at my local supermarket.
availability,"	可用性",The lack of availability of rice is worrying for restaurant owners.
unavailable,"	使用禁止",The doctor is currently unavailable for appointments.
benefit,益,Before starting we should do a cost / benefit analyis.
beneficial,"	有益",Drinking water is beneficial to your health.
beneficiary,"	受益者",He is a beneficiary of his patrons financial generosity.
beneficiaries,"	受益者",We found several beneficiaries were defrauding the system.
benefited,"	恩恵",I benefited from the scholarship programme.
benefiting,"	利益",They are benefiting from the results.
benefits,"	利点",We found there were several benefits.
concept,概念,It is a great concept but difficult to put into practice.
conception,"	受胎",tbc
concepts,"	概念",We found several concepts.
conceptual,"	概念的",It is still at a coceptual stage.
conceptualisation,"	概念化",
conceptualise,"	概念化",
conceptualised,"	概念化",I conceptualised the report.
conceptualises,"	概念化",We found several conceptualises.
conceptualising,"	概念化",They are conceptualising the results.
conceptually,"	概念的",
consist,成り立つ,
consisted,"	構成",I consisted the report.
consistency,"	一貫性",She maintained consistency in her writing style.
consistent,"	首尾一貫した",His answers were consistent with the facts.
consistently,"	常",She consistently arrives at work on time.
consisting,"	構成されている",They are consisting the results.
consists,"	で構成されています",We found several consists.
inconsistencies,"	不整合",We found several inconsistencies.
inconsistency,"	矛盾",The main problem with the batch of cookies was inconsistency in color.
inconsistent,"	辻褄の合わない",His attendance at the club meetings was inconsistent.
constitute,構成する,"Together, the three films constitute the Lord of the Rings trilogy."
constituencies,"	選挙 区",We found several constituencies.
constituency,"	選挙 区",
constituent,"	アール",
constituents,"	成分",We found several constituents.
constituted,"	構成",I constituted the report.
constitutes,"	構成",We found several constitutes.
constituting,"	構成",They are constituting the results.
constitution,"	憲法",
constitutions,"	憲法",We found several constitutions.
constitutional,"	憲法",
constitutionally,"	憲法",
constitutive,"	構成",
unconstitutional,"	違憲",
context,文脈,
contexts,"	コンテキスト",We found several contexts.
contextual,"	コンテキスト",
contextualise,"	コンテキスト化",
contextualised,"	コンテクスト化",I contextualised the report.
contextualising,"	コンテクスト化",They are contextualising the results.
uncontextualised,"	文脈化されていない",I uncontextualised the report.
contextualize,"	文脈",
contextualized,"	コンテキスト化",I contextualized the report.
contextualizing,"	コンテクスト化",They are contextualizing the results.
uncontextualized,"	非文脈化",I uncontextualized the report.
contract,契約,
contracted,"	契約",I contracted the report.
contracting,"	契約",They are contracting the results.
contractor,"	請負人",She is an contractor.
contractors,"	請負業 者",We found several contractors.
contracts,"	契約",We found several contracts.
create,創造する,She wants to create her own website.
created,"	作成",I created the report.
creates,"	作成",We found several creates.
creating,"	作成",They are creating the results.
creation,"	創造",
creations,"	作品",We found several creations.
creative,"	創造的な",
creatively,"	創造",
creativity,"	創造性",
creator,"	造物主",She is an creator.
creators,"	クリエイター",We found several creators.
recreate,"	再現",
recreated,"	再現",I recreated the report.
recreates,"	再現",We found several recreates.
recreating,"	再現",They are recreating the results.
data,データ,
define,定義する,Can you define the term clearly?
definable,"	定義",
defined,"	定義",I defined the report.
defines,"	定義",We found several defines.
defining,"	定義",They are defining the results.
definition,"	定義",
definitions,"	定義",We found several definitions.
redefine,"	定義",
redefined,"	定義",I redefined the report.
redefines,"	再",We found several redefines.
redefining,"	再",They are redefining the results.
undefined,"	未定義",I undefined the report.
derive,導き出す,
derivation,"	派生",
derivations,"	派生",We found several derivations.
derivative,"	派生語",
derivatives,"	誘導 体",We found several derivatives.
derived,"	派生",I derived the report.
derives,"	派生",We found several derives.
deriving,"	派生",They are deriving the results.
distribute,配る,
distributed,"	分散",I distributed the report.
distributing,"	配布",They are distributing the results.
distribution,"	流通",
distributional,"	分布",
distributions,"	分布",We found several distributions.
distributive,"	分配",
distributor,"	ディストリビューター",She is an distributor.
distributors,"	代理店",We found several distributors.
redistribute,"	再 分配",
redistributed,"	再 分配",I redistributed the report.
redistributes,"	再配布",We found several redistributes.
redistributing,"	再 分配",They are redistributing the results.
redistribution,"	再配分",
economy,経済,
economic,"	経済的",
economical,"	徳用",
economically,"	経済的",
economics,"	経済学",We found several economics.
economies,"	経済",We found several economies.
economist,"	エコノミスト",
economists,"	エコノミスト",We found several economists.
uneconomical,"	不経済",
environment,環境,
environmental,"	環境",
environmentalist,"	環境保護主義者",
environmentalists,"	環境",We found several environmentalists.
environmentally,"	環境",
environments,"	環境",We found several environments.
establish,作る,The group wants to establish a community center.
disestablish,"	ディスエスタブルメント",
disestablished,"	確立されていない",I disestablished the report.
disestablishes,"	ディスアソシエーション",We found several disestablishes.
disestablishing,"	ディスアスティッシング",They are disestablishing the results.
disestablishment,"	ディスエスタブリッシュメント",
established,"	既成",I established the report.
establishes,"	確立",We found several establishes.
establishing,"	確立",They are establishing the results.
establishment,"	確立",
establishments,"	施設",We found several establishments.
estimate,見積もる,
estimated,"	推定",I estimated the report.
estimates,"	見積もり",We found several estimates.
estimating,"	推定",They are estimating the results.
estimation,"	推定",
estimations,"	見積もり",We found several estimations.
over estimate,"	買い被る",
overestimate,"	買い被る",
overestimated,"	過大 評価",I overestimated the report.
overestimates,"	過大評価",We found several overestimates.
overestimating,"	過大 評価",They are overestimating the results.
underestimate,"	過小評価する",
underestimated,"	過小 評価",I underestimated the report.
underestimates,"	過小 評価",We found several underestimates.
underestimating,"	過小 評価",They are underestimating the results.
evident,明らか,
evidenced,"	証明",I evidenced the report.
evidence,"	証拠",
evidential,"	証拠",
evidently,"	明らかに",
export,輸出,
exported,"	エクスポート",I exported the report.
exporter,"	輸出",She is an exporter.
exporters,"	輸出 業者",We found several exporters.
exporting,"	エクスポート",They are exporting the results.
exports,"	輸出",We found several exports.
factor,因子,She is an factor.
factored,"	考慮",I factored the report.
factoring,"	ファクタリング",They are factoring the results.
factors,"	要因",We found several factors.
finance,金融,
financed,"	融資",I financed the report.
finances,"	金融",We found several finances.
financial,"	金融",
financially,"	財政",
financier,"	金融",She is an financier.
financiers,"	金融",We found several financiers.
financing,"	融資",They are financing the results.
formula,式,
formulae,"	式",
formulas,"	数式",We found several formulas.
formulate,"	定式化する",
formulated,"	策定",I formulated the report.
formulating,"	策定",They are formulating the results.
formulation,"	定式 化",
formulations,"	製剤",We found several formulations.
reformulate,"	再定式化",
reformulated,"	再処方",I reformulated the report.
reformulating,"	再定式化",They are reformulating the results.
reformulation,"	改質",
reformulations,"	再定式化",We found several reformulations.
function,機能,The main function of the liver is detoxification.
functional,"	機能的な",
functionally,"	機能的",
functioned,"	作用",I functioned the report.
functioning,"	機能",They are functioning the results.
functions,"	関数",We found several functions.
identify,識別する,Try to identify the main idea of the passage.
identifiable,"	識別",
identification,"	識別",
identified,"	識別",I identified the report.
identifies,"	識別",We found several identifies.
identifying,"	判明",They are identifying the results.
identities,"	アイデンティティ",We found several identities.
identity,"	同一性",
unidentifiable,"	正体 不明",
income,収入,
incomes,"	収入",We found several incomes.
indicate,示す,The sign will indicate where to go.
indicated,"	示さ れた",I indicated the report.
indicates,"	示す",We found several indicates.
indicating,"	示す",They are indicating the results.
indication,"	表示",
indications,"	徴候",We found several indications.
indicative,"	直説法",
indicator,"	インジケータ",She is an indicator.
indicators,"	指標",We found several indicators.
individual,個体,
individualised,"	個別化",I individualised the report.
individuality,"	個性",
individualism,"	個人主義",
individualist,"	インディビジュアリスト",
individualists,"	個人主義者",We found several individualists.
individualistic,"	個人",
individually,"	個別的に",
individuals,"	個人",We found several individuals.
interpret,解釈する,She can interpret the poem in many ways.
interpretation,"	解釈",
interpretations,"	解釈",We found several interpretations.
interpretative,"	解釈",
interpreted,"	解釈",I interpreted the report.
interpreting,"	解釈",They are interpreting the results.
interpretive,"	解釈",
interprets,"	解釈",We found several interprets.
misinterpret,"	誤解",
misinterpretation,"	誤解",
misinterpretations,"	誤解",We found several misinterpretations.
misinterpreted,"	誤って 解釈",I misinterpreted the report.
misinterpreting,"	誤って 解釈",They are misinterpreting the results.
misinterprets,"	誤解",We found several misinterprets.
reinterpret,"	解釈",
reinterpreted,"	解釈",I reinterpreted the report.
reinterprets,"	再",We found several reinterprets.
reinterpreting,"	再",They are reinterpreting the results.
reinterpretation,"	解釈",
reinterpretations,"	再解釈",We found several reinterpretations.
involve,巻き込む,
involved,"	複雑",I involved the report.
involvement,"	関与",
involves,"	含む",We found several involves.
involving,"	含む",They are involving the results.
uninvolved,"	関与していない",I uninvolved the report.
issue,発行,Water pollution is a serious issue.
issued,"	発行",I issued the report.
issues,"	問題",We found several issues.
issuing,"	発行",They are issuing the results.
labour,労働,
labor,"	労働",She is an labor.
labored,"	こじつけ",I labored the report.
labors,"	労働",We found several labors.
laboured,"	苦心",I laboured the report.
labouring,"	労働",They are labouring the results.
labours,"	労働",We found several labours.
legal,合法,
illegal,"	違法",
illegality,"	違法",
illegally,"	違法に",
legality,"	合法",
legally,"	法的",
legislate,制定する,
legislated,"	制定",I legislated the report.
legislates,"	立法府",We found several legislates.
legislating,"	立法",They are legislating the results.
legislation,"	法制",
legislative,"	立法権",
legislator,"	立法者",She is an legislator.
legislators,"	議員",We found several legislators.
legislature,"	立法府",
major,少佐,She is an major.
majorities,"	大半",We found several majorities.
majority,"	過半数",
method,方式,We used a different method to test the idea.
methodical,"	几帳面",
methodological,"	方法論",
methodologies,"	方法",We found several methodologies.
methodology,"	方法論",
methods,"	メソッド",We found several methods.
occur,起る,
occurred,"	発生",I occurred the report.
occurrence,"	発生",
occurrences,"	発生",We found several occurrences.
occurring,"	発生",They are occurring the results.
occurs,"	発生",We found several occurs.
reoccur,"	再発",
reoccurred,"	再発",I reoccurred the report.
reoccurring,"	再発",They are reoccurring the results.
reoccurs,"	再発",We found several reoccurs.
percent,パーセント,
percentage,"	百分率",
percentages,"	割合",We found several percentages.
period,時代,
periodic,"	周期的",
periodical,"	定期刊行物",
periodically,"	定期的",
periodicals,"	雑誌",We found several periodicals.
periods,"	期間",We found several periods.
policy,政策,
policies,"	檄",We found several policies.
principle,原理,
principled,"	原則",I principled the report.
principles,"	原則",We found several principles.
unprincipled,"	無節操",I unprincipled the report.
proceed,進む,I proceed the report.
procedural,"	手続き型",
procedure,"	プロシージャ",
procedures,"	手続き",We found several procedures.
proceeded,"	進んだ",I proceeded the report.
proceeding,"	行程",They are proceeding the results.
proceedings,"	議事",We found several proceedings.
proceeds,"	収益",We found several proceeds.
process,過程,
processed,"	処理",I processed the report.
processes,"	プロセス",We found several processes.
processing,"	加工",They are processing the results.
require,要する,The job will require travel to several countries.
required,"	必須",I required the report.
requirement,"	要件",A degree is a basic requirement for the job.
requirements,"	必要条件",We found several requirements.
requires,"	必要",We found several requires.
requiring,"	必要",They are requiring the results.
research,研究,
researched,"	研究",I researched the report.
researcher,"	研究員",She is an researcher.
researchers,"	研究",We found several researchers.
researches,"	研究",We found several researches.
researching,"	研究",They are researching the results.
respond,応じる,He didn't respond to my question.
responded,"	答えた",I responded the report.
respondent,"	回答者",
respondents,"	回答",We found several respondents.
responding,"	応答",They are responding the results.
responds,"	応答",We found several responds.
response,"	応答",
responses,"	応答",We found several responses.
responsive,"	応答",
responsiveness,"	応答",
unresponsive,"	応答",
role,役割,
roles,"	役割",We found several roles.
section,節,
sectioned,"	断面",I sectioned the report.
sectioning,"	セクショニング",They are sectioning the results.
sections,"	セクション",We found several sections.
sector,セクター,She is an sector.
sectors,"	セクター",We found several sectors.
significant,重要な,There was a significant improvement in his grades.
insignificant,"	名も無い",
insignificantly,"	取るに足らない",
significance,"	 意味",
significantly,"	著しく",
signified,"	シニフィエ",I signified the report.
signifies,"	意味",We found several signifies.
signify,"	表す",
signifying,"	意味",They are signifying the results.
similar,同じような,
dissimilar,"	異種",
similarities,"	類似 点",We found several similarities.
similarity,"	相似",
similarly,"	同じように",
source,源,The river is the main source of drinking water.
sourced,"	出典",I sourced the report.
sources,"	ソース",We found several sources.
sourcing,"	ソーシング",They are sourcing the results.
specific,特定,
specifically,"	具体的には",
specification,"	仕様",
specifications,"	仕様",We found several specifications.
specificity,"	特異 性",
