category,other forms,japanese root,japanese others
analyse,analysed,分析,分析
analyse,analyser,,分析する
analyse,analysers,,アナライザー
analyse,analyses,,分析
analyse,analysing,,分析
analyse,analysis,,解析
analyse,analyst,,アナリスト
analyse,analysts,,アナリスト
analyse,analytic,,分析
analyse,analytical,,分析
analyse,analytically,,解析的
analyse,analyze,,分析する
analyse,analyzed,,分析
analyse,analyzes,,分析
analyse,analyzing,,分析
approach,,接近,
approach,approachable,,親しみ やすい
approach,approached,,近づいて
approach,approaches,,アプローチ
approach,approaching,,接近
approach,unapproachable,,近寄りがたい
area,,面積,
area,areas ,,領域 
assess,,割り振る,
assess,assessable,,課税
assess,assessed,,評価
assess,assesses,,評価
assess,assessing,,評価
assess,assessment,,査定
assess,assessments,,評価
assess,reassess,,再評価
assess,reassessed ,,再評価 
assess,reassessing ,,再評価 
assess,reassessment,,再評価
assess,unassessed,,未評価
assume,,決め込む,
assume,assumed,,想定
assume,assumes,,仮定
assume,assuming,,仮定する
assume,assumption,,仮定
assume,assumptions,,仮定
authority,,権限,
authority,authoritative ,,儼然 
authority,authorities,,官憲
available,,利用できる,
available,availability,,可用性
available,unavailable,,使用禁止
benefit ,,益 ,
benefit ,beneficial,,有益
benefit ,beneficiary,,受益者
benefit ,beneficiaries,,受益者
benefit ,benefited,,恩恵
benefit ,benefiting,,利益
benefit ,benefits ,,利点 
concept ,,概念 ,
concept ,conception ,,受胎 
concept ,concepts,,概念
concept ,conceptual,,概念的
concept ,conceptualisation,,概念化
concept ,conceptualise,,概念化
concept ,conceptualised,,概念化
concept ,conceptualises,,概念化
concept ,conceptualising,,概念化
concept ,conceptually,,概念的
consist,,成り立つ,
consist,consisted,,構成
consist,consistency,,一貫性
consist,consistent,,首尾一貫した
consist,consistently,,常
consist,consisting,,構成されている
consist,consists,,で構成されています
consist,inconsistencies ,,不整合 
consist,inconsistency,,矛盾
consist,inconsistent,,辻褄の合わない
constitute ,,構成する ,
constitute ,constituencies ,,選挙 区 
constitute ,constituency,,選挙 区
constitute ,constituent ,,アール 
constitute ,constituents ,,成分 
constitute ,constituted,,構成
constitute ,constitutes ,,構成 
constitute ,constituting,,構成
constitute ,constitution,,憲法
constitute ,constitutions  ,,憲法  
constitute ,constitutional,,憲法
constitute ,constitutionally,,憲法
constitute ,constitutive,,構成
constitute ,unconstitutional,,違憲
context,,文脈,
context,contexts,,コンテキスト
context,contextual,,コンテキスト
context,contextualise ,,コンテキスト化 
context,contextualised ,,コンテクスト化 
context,contextualising ,,コンテクスト化 
context,uncontextualised ,,文脈化されていない 
context,contextualize ,,文脈 
context,contextualized ,,コンテキスト化 
context,contextualizing ,,コンテクスト化 
context,uncontextualized ,,非文脈化 
contract,,契約,
contract,contracted,,契約
contract,contracting,,契約
contract,contractor,,請負人
contract,contractors,,請負業 者
contract,contracts ,,契約 
create,,創造する,
create,created,,作成
create,creates,,作成
create,creating,,作成
create,creation,,創造
create,creations,,作品
create,creative,,創造的な
create,creatively,,創造
create,creativity,,創造性
create,creator,,造物主
create,creators,,クリエイター
create,recreate,,再現
create,recreated,,再現
create,recreates,,再現
create,recreating,,再現
data,,データ,
define,,定義する,
define,definable,,定義
