English,Japanese,context
analyse,分析,I must analyse the data.
analysed,	分析,I analysed the data.
analyser,	分析する,He is an analyser.
analysers,	アナライザー,They are analysers.
analyses,	分析,We found several analyses.
analysing,	分析,I have been analysing the data.
analysis,	解析,The analysis was thorough.
analyst,	アナリスト,The analyst reviewed the data carefully.
analysts,	アナリスト,He is a data analyst.
analytic,	分析,She gave an analytic summary of the findings.
analytical,	分析,He has a very analytical mind.
analytically,	解析的,He thinks analytically.
analyze,	分析する,I need to analyze this.
analyzed,	分析,I analyzed the report.
analyzes,	分析,We found several analyzes.
analyzing,	分析,They are analyzing the results.
approach,接近,His approach to the problem was unique.
approachable,	親しみ やすい,The manager was friendly and approachable.
approached,	近づいて,I approached the report.
approaches,	アプローチ,We found several approaches.
approaching,	接近,They are approaching the results.
unapproachable,	近寄りがたい,He seemed cold and unapproachable at work.
area,面積,We calculated the area of the triangle.
areas,	領域,We found several areas.
assess,割り振る,We need to assess the risks first.
assessable,	課税,Only assessable income was included in the report.
assessed,	評価,I assessed the report.
assesses,	評価,We found several assesses.
assessing,	評価,They are assessing the results.
assessment,	査定,The final assessment was based on multiple tests.
assessments,	評価,We found several assessments.
reassess,	再評価,We had to reassess our strategy after the meeting.
reassessed,	再評価,I reassessed the report.
reassessing,	再評価,They are reassessing the results.
reassessment,	再評価,"After failing the exam, he asked for a reassessment of his grade."
unassessed,	未評価,I unassessed the report.
assume,決め込む,We often assume things without enough evidence.
assumed,	想定,I assumed the report.
assumes,	仮定,We found several assumes.
assuming,	仮定する,They are assuming the results.
assumption,	仮定,"Her assumption was wrong, and it caused a problem."
assumptions,	仮定,We found several assumptions.
authority,権限	,The manager used his authority to change the schedule.
authoritative,	儼然,The teacher had an authoritative manner.
authorities,	官憲,We found several authorities.
available,利用できる,Rice is no longer available at my local supermarket.
availability,	可用性,The lack of availability of rice is worrying for restaurant owners.
unavailable,	使用禁止,The doctor is currently unavailable for appointments.
benefit,益,Regular exercise has many health benefits.
beneficial,	有益,Drinking water is beneficial to your health.
beneficiary,	受益者,This example illustrates how to use the word 'beneficiary'.
beneficiaries,	受益者,We found several beneficiaries.
benefited,	恩恵,I benefited the report.
benefiting,	利益,They are benefiting the results.
benefits,	利点,We found several benefits.
concept,概念,This example illustrates how to use the word 'concept'.
conception,	受胎,This example illustrates how to use the word 'conception'.
concepts,	概念,We found several concepts.
conceptual,	概念的,This example illustrates how to use the word 'conceptual'.
conceptualisation,	概念化,This example illustrates how to use the word 'conceptualisation'.
conceptualise,	概念化,This example illustrates how to use the word 'conceptualise'.
conceptualised,	概念化,I conceptualised the report.
conceptualises,	概念化,We found several conceptualises.
conceptualising,	概念化,They are conceptualising the results.
conceptually,	概念的,This example illustrates how to use the word 'conceptually'.
consist,成り立つ,This example illustrates how to use the word 'consist'.
consisted,	構成,I consisted the report.
consistency,	一貫性,This example illustrates how to use the word 'consistency'.
consistent,	首尾一貫した,This example illustrates how to use the word 'consistent'.
consistently,	常,This example illustrates how to use the word 'consistently'.
consisting,	構成されている,They are consisting the results.
consists,	で構成されています,We found several consists.
inconsistencies,	不整合,We found several inconsistencies.
inconsistency,	矛盾,The main problem with the batch of cookies was inconsistency in color.
inconsistent,	辻褄の合わない,His attendance at the club meetings was inconsistent.
constitute,構成する,"Together, the three films constitute the Lord of the Rings trilogy."
constituencies,	選挙 区,We found several constituencies.
constituency,	選挙 区,This example illustrates how to use the word 'constituency'.
constituent,	アール,This example illustrates how to use the word 'constituent'.
constituents,	成分,We found several constituents.
constituted,	構成,I constituted the report.
constitutes,	構成,We found several constitutes.
constituting,	構成,They are constituting the results.
constitution,	憲法,This example illustrates how to use the word 'constitution'.
constitutions,	憲法,We found several constitutions.
constitutional,	憲法,This example illustrates how to use the word 'constitutional'.
constitutionally,	憲法,This example illustrates how to use the word 'constitutionally'.
constitutive,	構成,This example illustrates how to use the word 'constitutive'.
unconstitutional,	違憲,This example illustrates how to use the word 'unconstitutional'.
context,文脈,This example illustrates how to use the word 'context'.
contexts,	コンテキスト,We found several contexts.
contextual,	コンテキスト,This example illustrates how to use the word 'contextual'.
contextualise,	コンテキスト化,This example illustrates how to use the word 'contextualise'.
contextualised,	コンテクスト化,I contextualised the report.
contextualising,	コンテクスト化,They are contextualising the results.
uncontextualised,	文脈化されていない,I uncontextualised the report.
contextualize,	文脈,This example illustrates how to use the word 'contextualize'.
contextualized,	コンテキスト化,I contextualized the report.
contextualizing,	コンテクスト化,They are contextualizing the results.
uncontextualized,	非文脈化,I uncontextualized the report.
contract,契約,This example illustrates how to use the word 'contract'.
contracted,	契約,I contracted the report.
contracting,	契約,They are contracting the results.
contractor,	請負人,She is an contractor.
contractors,	請負業 者,We found several contractors.
contracts,	契約,We found several contracts.
create,創造する,She wants to create her own website.
created,	作成,I created the report.
creates,	作成,We found several creates.
creating,	作成,They are creating the results.
creation,	創造,This example illustrates how to use the word 'creation'.
creations,	作品,We found several creations.
creative,	創造的な,This example illustrates how to use the word 'creative'.
creatively,	創造,This example illustrates how to use the word 'creatively'.
creativity,	創造性,This example illustrates how to use the word 'creativity'.
creator,	造物主,She is an creator.
creators,	クリエイター,We found several creators.
recreate,	再現,This example illustrates how to use the word 'recreate'.
recreated,	再現,I recreated the report.
recreates,	再現,We found several recreates.
recreating,	再現,They are recreating the results.
data,データ,This example illustrates how to use the word 'data'.
define,定義する,Can you define the term clearly?
definable,	定義,This example illustrates how to use the word 'definable'.
defined,	定義,I defined the report.
defines,	定義,We found several defines.
defining,	定義,They are defining the results.
definition,	定義,This example illustrates how to use the word 'definition'.
definitions,	定義,We found several definitions.
redefine,	定義,This example illustrates how to use the word 'redefine'.
redefined,	定義,I redefined the report.
redefines,	再,We found several redefines.
redefining,	再,They are redefining the results.
undefined,	未定義,I undefined the report.
derive,導き出す,This example illustrates how to use the word 'derive'.
derivation,	派生,This example illustrates how to use the word 'derivation'.
derivations,	派生,We found several derivations.
derivative,	派生語,This example illustrates how to use the word 'derivative'.
derivatives,	誘導 体,We found several derivatives.
derived,	派生,I derived the report.
derives,	派生,We found several derives.
deriving,	派生,They are deriving the results.
distribute,配る,This example illustrates how to use the word 'distribute'.
distributed,	分散,I distributed the report.
distributing,	配布,They are distributing the results.
distribution,	流通,This example illustrates how to use the word 'distribution'.
distributional,	分布,This example illustrates how to use the word 'distributional'.
distributions,	分布,We found several distributions.
distributive,	分配,This example illustrates how to use the word 'distributive'.
distributor,	ディストリビューター,She is an distributor.
distributors,	代理店,We found several distributors.
redistribute,	再 分配,This example illustrates how to use the word 'redistribute'.
redistributed,	再 分配,I redistributed the report.
redistributes,	再配布,We found several redistributes.
redistributing,	再 分配,They are redistributing the results.
redistribution,	再配分,This example illustrates how to use the word 'redistribution'.
economy,経済,This example illustrates how to use the word 'economy'.
economic,	経済的,This example illustrates how to use the word 'economic'.
economical,	徳用,This example illustrates how to use the word 'economical'.
economically,	経済的,This example illustrates how to use the word 'economically'.
economics,	経済学,We found several economics.
economies,	経済,We found several economies.
economist,	エコノミスト,This example illustrates how to use the word 'economist'.
economists,	エコノミスト,We found several economists.
uneconomical,	不経済,This example illustrates how to use the word 'uneconomical'.
environment,環境,This example illustrates how to use the word 'environment'.
environmental,	環境,This example illustrates how to use the word 'environmental'.
environmentalist,	環境保護主義者,This example illustrates how to use the word 'environmentalist'.
environmentalists,	環境,We found several environmentalists.
environmentally,	環境,This example illustrates how to use the word 'environmentally'.
environments,	環境,We found several environments.
establish,作る,The group wants to establish a community center.
disestablish,	ディスエスタブルメント,This example illustrates how to use the word 'disestablish'.
disestablished,	確立されていない,I disestablished the report.
disestablishes,	ディスアソシエーション,We found several disestablishes.
disestablishing,	ディスアスティッシング,They are disestablishing the results.
disestablishment,	ディスエスタブリッシュメント,This example illustrates how to use the word 'disestablishment'.
established,	既成,I established the report.
establishes,	確立,We found several establishes.
establishing,	確立,They are establishing the results.
establishment,	確立,This example illustrates how to use the word 'establishment'.
establishments,	施設,We found several establishments.
estimate,見積もる,This example illustrates how to use the word 'estimate'.
estimated,	推定,I estimated the report.
estimates,	見積もり,We found several estimates.
estimating,	推定,They are estimating the results.
estimation,	推定,This example illustrates how to use the word 'estimation'.
estimations,	見積もり,We found several estimations.
over estimate,	買い被る,This example illustrates how to use the word 'over estimate'.
overestimate,	買い被る,This example illustrates how to use the word 'overestimate'.
overestimated,	過大 評価,I overestimated the report.
overestimates,	過大評価,We found several overestimates.
overestimating,	過大 評価,They are overestimating the results.
underestimate,	過小評価する,This example illustrates how to use the word 'underestimate'.
underestimated,	過小 評価,I underestimated the report.
underestimates,	過小 評価,We found several underestimates.
underestimating,	過小 評価,They are underestimating the results.
evident,明らか,This example illustrates how to use the word 'evident'.
evidenced,	証明,I evidenced the report.
evidence,	証拠,This example illustrates how to use the word 'evidence'.
evidential,	証拠,This example illustrates how to use the word 'evidential'.
evidently,	明らかに,This example illustrates how to use the word 'evidently'.
export,輸出,This example illustrates how to use the word 'export'.
exported,	エクスポート,I exported the report.
exporter,	輸出,She is an exporter.
exporters,	輸出 業者,We found several exporters.
exporting,	エクスポート,They are exporting the results.
exports,	輸出,We found several exports.
factor,因子,She is an factor.
factored,	考慮,I factored the report.
factoring,	ファクタリング,They are factoring the results.
factors,	要因,We found several factors.
finance,金融,This example illustrates how to use the word 'finance'.
financed,	融資,I financed the report.
finances,	金融,We found several finances.
financial,	金融,This example illustrates how to use the word 'financial'.
financially,	財政,This example illustrates how to use the word 'financially'.
financier,	金融,She is an financier.
financiers,	金融,We found several financiers.
financing,	融資,They are financing the results.
formula,式,This example illustrates how to use the word 'formula'.
formulae,	式,This example illustrates how to use the word 'formulae'.
formulas,	数式,We found several formulas.
formulate,	定式化する,This example illustrates how to use the word 'formulate'.
formulated,	策定,I formulated the report.
formulating,	策定,They are formulating the results.
formulation,	定式 化,This example illustrates how to use the word 'formulation'.
formulations,	製剤,We found several formulations.
reformulate,	再定式化,This example illustrates how to use the word 'reformulate'.
reformulated,	再処方,I reformulated the report.
reformulating,	再定式化,They are reformulating the results.
reformulation,	改質,This example illustrates how to use the word 'reformulation'.
reformulations,	再定式化,We found several reformulations.
function,機能,The main function of the liver is detoxification.
functional,	機能的な,This example illustrates how to use the word 'functional'.
functionally,	機能的,This example illustrates how to use the word 'functionally'.
functioned,	作用,I functioned the report.
functioning,	機能,They are functioning the results.
functions,	関数,We found several functions.
identify,識別する,Try to identify the main idea of the passage.
identifiable,	識別,This example illustrates how to use the word 'identifiable'.
identification,	識別,This example illustrates how to use the word 'identification'.
identified,	識別,I identified the report.
identifies,	識別,We found several identifies.
identifying,	判明,They are identifying the results.
identities,	アイデンティティ,We found several identities.
identity,	同一性,This example illustrates how to use the word 'identity'.
unidentifiable,	正体 不明,This example illustrates how to use the word 'unidentifiable'.
income,収入,This example illustrates how to use the word 'income'.
incomes,	収入,We found several incomes.
indicate,示す,The sign will indicate where to go.
indicated,	示さ れた,I indicated the report.
indicates,	示す,We found several indicates.
indicating,	示す,They are indicating the results.
indication,	表示,This example illustrates how to use the word 'indication'.
indications,	徴候,We found several indications.
indicative,	直説法,This example illustrates how to use the word 'indicative'.
indicator,	インジケータ,She is an indicator.
indicators,	指標,We found several indicators.
individual,個体,This example illustrates how to use the word 'individual'.
individualised,	個別化,I individualised the report.
individuality,	個性,This example illustrates how to use the word 'individuality'.
individualism,	個人主義,This example illustrates how to use the word 'individualism'.
individualist,	インディビジュアリスト,This example illustrates how to use the word 'individualist'.
individualists,	個人主義者,We found several individualists.
individualistic,	個人,This example illustrates how to use the word 'individualistic'.
individually,	個別的に,This example illustrates how to use the word 'individually'.
individuals,	個人,We found several individuals.
interpret,解釈する,She can interpret the poem in many ways.
interpretation,	解釈,This example illustrates how to use the word 'interpretation'.
interpretations,	解釈,We found several interpretations.
interpretative,	解釈,This example illustrates how to use the word 'interpretative'.
interpreted,	解釈,I interpreted the report.
interpreting,	解釈,They are interpreting the results.
interpretive,	解釈,This example illustrates how to use the word 'interpretive'.
interprets,	解釈,We found several interprets.
misinterpret,	誤解,This example illustrates how to use the word 'misinterpret'.
misinterpretation,	誤解,This example illustrates how to use the word 'misinterpretation'.
misinterpretations,	誤解,We found several misinterpretations.
misinterpreted,	誤って 解釈,I misinterpreted the report.
misinterpreting,	誤って 解釈,They are misinterpreting the results.
misinterprets,	誤解,We found several misinterprets.
reinterpret,	解釈,This example illustrates how to use the word 'reinterpret'.
reinterpreted,	解釈,I reinterpreted the report.
reinterprets,	再,We found several reinterprets.
reinterpreting,	再,They are reinterpreting the results.
reinterpretation,	解釈,This example illustrates how to use the word 'reinterpretation'.
reinterpretations,	再解釈,We found several reinterpretations.
involve,巻き込む,This example illustrates how to use the word 'involve'.
involved,	複雑,I involved the report.
involvement,	関与,This example illustrates how to use the word 'involvement'.
involves,	含む,We found several involves.
involving,	含む,They are involving the results.
uninvolved,	関与していない,I uninvolved the report.
issue,発行,Water pollution is a serious issue.
issued,	発行,I issued the report.
issues,	問題,We found several issues.
issuing,	発行,They are issuing the results.
labour,労働,This example illustrates how to use the word 'labour'.
labor,	労働,She is an labor.
labored,	こじつけ,I labored the report.
labors,	労働,We found several labors.
laboured,	苦心,I laboured the report.
labouring,	労働,They are labouring the results.
labours,	労働,We found several labours.
legal,合法,This example illustrates how to use the word 'legal'.
illegal,	違法,This example illustrates how to use the word 'illegal'.
illegality,	違法,This example illustrates how to use the word 'illegality'.
illegally,	違法に,This example illustrates how to use the word 'illegally'.
legality,	合法,This example illustrates how to use the word 'legality'.
legally,	法的,This example illustrates how to use the word 'legally'.
legislate,制定する,This example illustrates how to use the word 'legislate'.
legislated,	制定,I legislated the report.
legislates,	立法府,We found several legislates.
