English,Japanese,context
analyse,分析,I must analyse the data.
analysed,	分析,I analysed the data.
analyser,	分析する,He is an analyser.
analysers,	アナライザー,They are analysers.
analyses,	分析,We found several analyses.
analysing,	分析,I have been analysing the data.
analysis,	解析,The analysis was thorough.
analyst,	アナリスト,The analyst reviewed the data carefully.
analysts,	アナリスト,He is a data analyst.
analytic,	分析,She gave an analytic summary of the findings.
analytical,	分析,He has a very analytical mind.
analytically,	解析的,He thinks analytically.
analyze,	分析する,I need to analyze this.
analyzed,	分析,I analyzed the report.
analyzes,	分析,We found several analyzes.
analyzing,	分析,They are analyzing the results.
approach,接近,His approach to the problem was unique.
approachable,	親しみ やすい,The manager was friendly and approachable.
approached,	近づいて,I approached the report.
approaches,	アプローチ,We found several approaches.
approaching,	接近,They are approaching the results.
unapproachable,	近寄りがたい,He seemed cold and unapproachable at work.
area,面積,We calculated the area of the triangle.
areas,	領域,We found several areas.
assess,割り振る,We need to assess the risks first.
assessable,	課税,Only assessable income was included in the report.
assessed,	評価,I assessed the report.
assesses,	評価,We found several assesses.
assessing,	評価,They are assessing the results.
assessment,	査定,The final assessment was based on multiple tests.
assessments,	評価,We found several assessments.
reassess,	再評価,We had to reassess our strategy after the meeting.
reassessed,	再評価,I reassessed the report.
reassessing,	再評価,They are reassessing the results.
reassessment,	再評価,"After failing the exam, he asked for a reassessment of his grade."
unassessed,	未評価,I unassessed the report.
assume,決め込む,We often assume things without enough evidence.
assumed,	想定,I assumed the report.
assumes,	仮定,We found several assumes.
assuming,	仮定する,They are assuming the results.
assumption,	仮定,"Her assumption was wrong, and it caused a problem."
assumptions,	仮定,We found several assumptions.
authority,権限	,The manager used his authority to change the schedule.
authoritative,	儼然,The teacher had an authoritative manner.
authorities,	官憲,We found several authorities.
available,利用できる,Rice is no longer available at my local supermarket.
availability,	可用性,The lack of availability of rice is worrying for restaurant owners.
unavailable,	使用禁止,The doctor is currently unavailable for appointments.
benefit,益,Regular exercise has many health benefits.
beneficial,	有益,Drinking water is beneficial to your health.
beneficiary,	受益者,Beneficiary is used frequently in academic and everyday English.
beneficiaries,	受益者,We found several beneficiaries.
benefited,	恩恵,I benefited the report.
benefiting,	利益,They are benefiting the results.
benefits,	利点,We found several benefits.
concept,概念,Concept is used frequently in academic and everyday English.
conception,	受胎,Conception is used frequently in academic and everyday English.
concepts,	概念,We found several concepts.
conceptual,	概念的,Conceptual is used frequently in academic and everyday English.
conceptualisation,	概念化,Conceptualisation is used frequently in academic and everyday English.
conceptualise,	概念化,Conceptualise is used frequently in academic and everyday English.
conceptualised,	概念化,I conceptualised the report.
conceptualises,	概念化,We found several conceptualises.
conceptualising,	概念化,They are conceptualising the results.
conceptually,	概念的,Conceptually is used frequently in academic and everyday English.
consist,成り立つ,Consist is used frequently in academic and everyday English.
consisted,	構成,I consisted the report.
consistency,	一貫性,She maintained consistency in her writing style.
consistent,	首尾一貫した,His answers were consistent with the facts.
consistently,	常,She consistently arrives at work on time.
consisting,	構成されている,They are consisting the results.
consists,	で構成されています,We found several consists.
inconsistencies,	不整合,We found several inconsistencies.
inconsistency,	矛盾,The main problem with the batch of cookies was inconsistency in color.
inconsistent,	辻褄の合わない,His attendance at the club meetings was inconsistent.
constitute,構成する,"Together, the three films constitute the Lord of the Rings trilogy."
constituencies,	選挙 区,We found several constituencies.
constituency,	選挙 区,Constituency is used frequently in academic and everyday English.
constituent,	アール,Constituent is used frequently in academic and everyday English.
constituents,	成分,We found several constituents.
constituted,	構成,I constituted the report.
constitutes,	構成,We found several constitutes.
constituting,	構成,They are constituting the results.
constitution,	憲法,Constitution is used frequently in academic and everyday English.
constitutions,	憲法,We found several constitutions.
constitutional,	憲法,Constitutional is used frequently in academic and everyday English.
constitutionally,	憲法,Constitutionally is used frequently in academic and everyday English.
constitutive,	構成,Constitutive is used frequently in academic and everyday English.
unconstitutional,	違憲,Unconstitutional is used frequently in academic and everyday English.
context,文脈,Context is used frequently in academic and everyday English.
contexts,	コンテキスト,We found several contexts.
contextual,	コンテキスト,Contextual is used frequently in academic and everyday English.
contextualise,	コンテキスト化,Contextualise is used frequently in academic and everyday English.
contextualised,	コンテクスト化,I contextualised the report.
contextualising,	コンテクスト化,They are contextualising the results.
uncontextualised,	文脈化されていない,I uncontextualised the report.
contextualize,	文脈,Contextualize is used frequently in academic and everyday English.
contextualized,	コンテキスト化,I contextualized the report.
contextualizing,	コンテクスト化,They are contextualizing the results.
uncontextualized,	非文脈化,I uncontextualized the report.
contract,契約,Contract is used frequently in academic and everyday English.
contracted,	契約,I contracted the report.
contracting,	契約,They are contracting the results.
contractor,	請負人,She is an contractor.
contractors,	請負業 者,We found several contractors.
contracts,	契約,We found several contracts.
create,創造する,She wants to create her own website.
created,	作成,I created the report.
creates,	作成,We found several creates.
creating,	作成,They are creating the results.
creation,	創造,Creation is used frequently in academic and everyday English.
creations,	作品,We found several creations.
creative,	創造的な,Creative is used frequently in academic and everyday English.
creatively,	創造,Creatively is used frequently in academic and everyday English.
creativity,	創造性,Creativity is used frequently in academic and everyday English.
creator,	造物主,She is an creator.
creators,	クリエイター,We found several creators.
recreate,	再現,Recreate is used frequently in academic and everyday English.
recreated,	再現,I recreated the report.
recreates,	再現,We found several recreates.
recreating,	再現,They are recreating the results.
data,データ,Data is used frequently in academic and everyday English.
define,定義する,Can you define the term clearly?
definable,	定義,Definable is used frequently in academic and everyday English.
defined,	定義,I defined the report.
defines,	定義,We found several defines.
defining,	定義,They are defining the results.
definition,	定義,Definition is used frequently in academic and everyday English.
definitions,	定義,We found several definitions.
redefine,	定義,Redefine is used frequently in academic and everyday English.
redefined,	定義,I redefined the report.
redefines,	再,We found several redefines.
redefining,	再,They are redefining the results.
undefined,	未定義,I undefined the report.
derive,導き出す,Derive is used frequently in academic and everyday English.
derivation,	派生,Derivation is used frequently in academic and everyday English.
derivations,	派生,We found several derivations.
derivative,	派生語,Derivative is used frequently in academic and everyday English.
derivatives,	誘導 体,We found several derivatives.
derived,	派生,I derived the report.
derives,	派生,We found several derives.
deriving,	派生,They are deriving the results.
distribute,配る,Distribute is used frequently in academic and everyday English.
distributed,	分散,I distributed the report.
distributing,	配布,They are distributing the results.
distribution,	流通,Distribution is used frequently in academic and everyday English.
distributional,	分布,Distributional is used frequently in academic and everyday English.
distributions,	分布,We found several distributions.
distributive,	分配,Distributive is used frequently in academic and everyday English.
distributor,	ディストリビューター,She is an distributor.
distributors,	代理店,We found several distributors.
redistribute,	再 分配,Redistribute is used frequently in academic and everyday English.
redistributed,	再 分配,I redistributed the report.
redistributes,	再配布,We found several redistributes.
redistributing,	再 分配,They are redistributing the results.
redistribution,	再配分,Redistribution is used frequently in academic and everyday English.
economy,経済,Economy is used frequently in academic and everyday English.
economic,	経済的,Economic is used frequently in academic and everyday English.
economical,	徳用,Economical is used frequently in academic and everyday English.
economically,	経済的,Economically is used frequently in academic and everyday English.
economics,	経済学,We found several economics.
economies,	経済,We found several economies.
economist,	エコノミスト,Economist is used frequently in academic and everyday English.
economists,	エコノミスト,We found several economists.
uneconomical,	不経済,Uneconomical is used frequently in academic and everyday English.
environment,環境,Environment is used frequently in academic and everyday English.
environmental,	環境,Environmental is used frequently in academic and everyday English.
environmentalist,	環境保護主義者,Environmentalist is used frequently in academic and everyday English.
environmentalists,	環境,We found several environmentalists.
environmentally,	環境,Environmentally is used frequently in academic and everyday English.
environments,	環境,We found several environments.
establish,作る,The group wants to establish a community center.
disestablish,	ディスエスタブルメント,Disestablish is used frequently in academic and everyday English.
disestablished,	確立されていない,I disestablished the report.
disestablishes,	ディスアソシエーション,We found several disestablishes.
disestablishing,	ディスアスティッシング,They are disestablishing the results.
disestablishment,	ディスエスタブリッシュメント,Disestablishment is used frequently in academic and everyday English.
established,	既成,I established the report.
establishes,	確立,We found several establishes.
establishing,	確立,They are establishing the results.
establishment,	確立,Establishment is used frequently in academic and everyday English.
establishments,	施設,We found several establishments.
estimate,見積もる,Estimate is used frequently in academic and everyday English.
estimated,	推定,I estimated the report.
estimates,	見積もり,We found several estimates.
estimating,	推定,They are estimating the results.
estimation,	推定,Estimation is used frequently in academic and everyday English.
estimations,	見積もり,We found several estimations.
over estimate,	買い被る,Over estimate is used frequently in academic and everyday English.
overestimate,	買い被る,Overestimate is used frequently in academic and everyday English.
overestimated,	過大 評価,I overestimated the report.
overestimates,	過大評価,We found several overestimates.
overestimating,	過大 評価,They are overestimating the results.
underestimate,	過小評価する,Underestimate is used frequently in academic and everyday English.
underestimated,	過小 評価,I underestimated the report.
underestimates,	過小 評価,We found several underestimates.
underestimating,	過小 評価,They are underestimating the results.
evident,明らか,Evident is used frequently in academic and everyday English.
evidenced,	証明,I evidenced the report.
evidence,	証拠,Evidence is used frequently in academic and everyday English.
evidential,	証拠,Evidential is used frequently in academic and everyday English.
evidently,	明らかに,Evidently is used frequently in academic and everyday English.
export,輸出,Export is used frequently in academic and everyday English.
exported,	エクスポート,I exported the report.
exporter,	輸出,She is an exporter.
exporters,	輸出 業者,We found several exporters.
exporting,	エクスポート,They are exporting the results.
exports,	輸出,We found several exports.
factor,因子,She is an factor.
factored,	考慮,I factored the report.
factoring,	ファクタリング,They are factoring the results.
factors,	要因,We found several factors.
finance,金融,Finance is used frequently in academic and everyday English.
financed,	融資,I financed the report.
finances,	金融,We found several finances.
financial,	金融,Financial is used frequently in academic and everyday English.
financially,	財政,Financially is used frequently in academic and everyday English.
financier,	金融,She is an financier.
financiers,	金融,We found several financiers.
financing,	融資,They are financing the results.
formula,式,Formula is used frequently in academic and everyday English.
formulae,	式,Formulae is used frequently in academic and everyday English.
formulas,	数式,We found several formulas.
formulate,	定式化する,Formulate is used frequently in academic and everyday English.
formulated,	策定,I formulated the report.
formulating,	策定,They are formulating the results.
formulation,	定式 化,Formulation is used frequently in academic and everyday English.
formulations,	製剤,We found several formulations.
reformulate,	再定式化,Reformulate is used frequently in academic and everyday English.
reformulated,	再処方,I reformulated the report.
reformulating,	再定式化,They are reformulating the results.
reformulation,	改質,Reformulation is used frequently in academic and everyday English.
reformulations,	再定式化,We found several reformulations.
function,機能,The main function of the liver is detoxification.
functional,	機能的な,Functional is used frequently in academic and everyday English.
functionally,	機能的,Functionally is used frequently in academic and everyday English.
functioned,	作用,I functioned the report.
functioning,	機能,They are functioning the results.
functions,	関数,We found several functions.
identify,識別する,Try to identify the main idea of the passage.
identifiable,	識別,Identifiable is used frequently in academic and everyday English.
identification,	識別,Identification is used frequently in academic and everyday English.
identified,	識別,I identified the report.
identifies,	識別,We found several identifies.
identifying,	判明,They are identifying the results.
identities,	アイデンティティ,We found several identities.
identity,	同一性,Identity is used frequently in academic and everyday English.
unidentifiable,	正体 不明,Unidentifiable is used frequently in academic and everyday English.
income,収入,Income is used frequently in academic and everyday English.
incomes,	収入,We found several incomes.
indicate,示す,The sign will indicate where to go.
indicated,	示さ れた,I indicated the report.
indicates,	示す,We found several indicates.
indicating,	示す,They are indicating the results.
indication,	表示,Indication is used frequently in academic and everyday English.
indications,	徴候,We found several indications.
indicative,	直説法,Indicative is used frequently in academic and everyday English.
indicator,	インジケータ,She is an indicator.
indicators,	指標,We found several indicators.
individual,個体,Individual is used frequently in academic and everyday English.
individualised,	個別化,I individualised the report.
individuality,	個性,Individuality is used frequently in academic and everyday English.
individualism,	個人主義,Individualism is used frequently in academic and everyday English.
individualist,	インディビジュアリスト,Individualist is used frequently in academic and everyday English.
individualists,	個人主義者,We found several individualists.
individualistic,	個人,Individualistic is used frequently in academic and everyday English.
individually,	個別的に,Individually is used frequently in academic and everyday English.
individuals,	個人,We found several individuals.
interpret,解釈する,She can interpret the poem in many ways.
interpretation,	解釈,Interpretation is used frequently in academic and everyday English.
interpretations,	解釈,We found several interpretations.
interpretative,	解釈,Interpretative is used frequently in academic and everyday English.
interpreted,	解釈,I interpreted the report.
interpreting,	解釈,They are interpreting the results.
interpretive,	解釈,Interpretive is used frequently in academic and everyday English.
interprets,	解釈,We found several interprets.
misinterpret,	誤解,Misinterpret is used frequently in academic and everyday English.
misinterpretation,	誤解,Misinterpretation is used frequently in academic and everyday English.
misinterpretations,	誤解,We found several misinterpretations.
misinterpreted,	誤って 解釈,I misinterpreted the report.
misinterpreting,	誤って 解釈,They are misinterpreting the results.
misinterprets,	誤解,We found several misinterprets.
reinterpret,	解釈,Reinterpret is used frequently in academic and everyday English.
reinterpreted,	解釈,I reinterpreted the report.
reinterprets,	再,We found several reinterprets.
reinterpreting,	再,They are reinterpreting the results.
reinterpretation,	解釈,Reinterpretation is used frequently in academic and everyday English.
reinterpretations,	再解釈,We found several reinterpretations.
involve,巻き込む,Involve is used frequently in academic and everyday English.
involved,	複雑,I involved the report.
involvement,	関与,Involvement is used frequently in academic and everyday English.
involves,	含む,We found several involves.
involving,	含む,They are involving the results.
uninvolved,	関与していない,I uninvolved the report.
issue,発行,Water pollution is a serious issue.
issued,	発行,I issued the report.
issues,	問題,We found several issues.
issuing,	発行,They are issuing the results.
labour,労働,Labour is used frequently in academic and everyday English.
labor,	労働,She is an labor.
labored,	こじつけ,I labored the report.
labors,	労働,We found several labors.
laboured,	苦心,I laboured the report.
labouring,	労働,They are labouring the results.
labours,	労働,We found several labours.
legal,合法,Legal is used frequently in academic and everyday English.
illegal,	違法,Illegal is used frequently in academic and everyday English.
illegality,	違法,Illegality is used frequently in academic and everyday English.
illegally,	違法に,Illegally is used frequently in academic and everyday English.
legality,	合法,Legality is used frequently in academic and everyday English.
legally,	法的,Legally is used frequently in academic and everyday English.
legislate,制定する,Legislate is used frequently in academic and everyday English.
legislated,	制定,I legislated the report.
legislates,	立法府,We found several legislates.
legislating,	立法,They are legislating the results.
