English,Japanese,context
analyse,分析,I must analyse the data.
analysed,"	分析",I analysed the data.
analyser,"	分析する",He is an analyser.
analysers,"	アナライザー",They are analysers.
analyses,"	分析",We found several analyses.
analysing,"	分析",I have been analysing the data.
analysis,"	解析",The analysis was thorough.
analyst,"	アナリスト",The analyst reviewed the data carefully.
analysts,"	アナリスト",He is a data analyst.
analytic,"	分析",She gave an analytic summary of the findings.
analytical,"	分析",He has a very analytical mind.
analytically,"	解析的",He thinks analytically.
analyze,"	分析する",I need to analyze this.
analyzed,"	分析",I analyzed the report.
analyzes,"	分析",We found several analyzes.
analyzing,"	分析",They are analyzing the results.
approach,接近,His approach to the problem was unique.
approachable,"	親しみ やすい",The manager was friendly and approachable.
approached,"	近づいて",I approached the report.
approaches,"	アプローチ",We found several approaches.
approaching,"	接近",They are approaching the results.
unapproachable,"	近寄りがたい",He seemed cold and unapproachable at work.
area,面積,We calculated the area of the triangle.
areas,"	領域",We found several areas.
assess,割り振る,We need to assess the risks first.
assessable,"	課税",Only assessable income was included in the report.
assessed,"	評価",I assessed the report.
assesses,"	評価",We found several assesses.
assessing,"	評価",They are assessing the results.
assessment,"	査定",The final assessment was based on multiple tests.
assessments,"	評価",We found several assessments.
reassess,"	再評価",We had to reassess our strategy after the meeting.
reassessed,"	再評価",I reassessed the report.
reassessing,"	再評価",They are reassessing the results.
reassessment,"	再評価",This is about reassessment.
unassessed,"	未評価",I unassessed the report.
assume,決め込む,This is about assume.
assumed,"	想定",I assumed the report.
assumes,"	仮定",We found several assumes.
assuming,"	仮定する",They are assuming the results.
assumption,"	仮定",This is about assumption.
assumptions,"	仮定",We found several assumptions.
authority,"権限	",This is about authority.
authoritative,"	儼然",This is about authoritative.
authorities,"	官憲",We found several authorities.
available,利用できる,This is about available.
availability,"	可用性",This is about availability.
unavailable,"	使用禁止",This is about unavailable.
benefit,益,This is about benefit.
beneficial,"	有益",This is about beneficial.
beneficiary,"	受益者",This is about beneficiary.
beneficiaries,"	受益者",We found several beneficiaries.
benefited,"	恩恵",I benefited the report.
benefiting,"	利益",They are benefiting the results.
benefits,"	利点",We found several benefits.
concept,概念,This is about concept.
conception,"	受胎",This is about conception.
concepts,"	概念",We found several concepts.
conceptual,"	概念的",This is about conceptual.
conceptualisation,"	概念化",This is about conceptualisation.
conceptualise,"	概念化",This is about conceptualise.
conceptualised,"	概念化",I conceptualised the report.
conceptualises,"	概念化",We found several conceptualises.
conceptualising,"	概念化",They are conceptualising the results.
conceptually,"	概念的",This is about conceptually.
consist,成り立つ,This is about consist.
consisted,"	構成",I consisted the report.
consistency,"	一貫性",This is about consistency.
consistent,"	首尾一貫した",This is about consistent.
consistently,"	常",This is about consistently.
consisting,"	構成されている",They are consisting the results.
consists,"	で構成されています",We found several consists.
inconsistencies,"	不整合",We found several inconsistencies.
inconsistency,"	矛盾",This is about inconsistency.
inconsistent,"	辻褄の合わない",This is about inconsistent.
constitute,構成する,This is about constitute.
constituencies,"	選挙 区",We found several constituencies.
constituency,"	選挙 区",This is about constituency.
constituent,"	アール",This is about constituent.
constituents,"	成分",We found several constituents.
constituted,"	構成",I constituted the report.
constitutes,"	構成",We found several constitutes.
constituting,"	構成",They are constituting the results.
constitution,"	憲法",This is about constitution.
constitutions,"	憲法",We found several constitutions.
constitutional,"	憲法",This is about constitutional.
constitutionally,"	憲法",This is about constitutionally.
constitutive,"	構成",This is about constitutive.
unconstitutional,"	違憲",This is about unconstitutional.
context,文脈,This is about context.
contexts,"	コンテキスト",We found several contexts.
contextual,"	コンテキスト",This is about contextual.
contextualise,"	コンテキスト化",This is about contextualise.
contextualised,"	コンテクスト化",I contextualised the report.
contextualising,"	コンテクスト化",They are contextualising the results.
uncontextualised,"	文脈化されていない",I uncontextualised the report.
contextualize,"	文脈",This is about contextualize.
contextualized,"	コンテキスト化",I contextualized the report.
contextualizing,"	コンテクスト化",They are contextualizing the results.
uncontextualized,"	非文脈化",I uncontextualized the report.
contract,契約,This is about contract.
contracted,"	契約",I contracted the report.
contracting,"	契約",They are contracting the results.
contractor,"	請負人",She is an contractor.
contractors,"	請負業 者",We found several contractors.
contracts,"	契約",We found several contracts.
create,創造する,This is about create.
created,"	作成",I created the report.
creates,"	作成",We found several creates.
creating,"	作成",They are creating the results.
creation,"	創造",This is about creation.
creations,"	作品",We found several creations.
creative,"	創造的な",This is about creative.
creatively,"	創造",This is about creatively.
creativity,"	創造性",This is about creativity.
creator,"	造物主",She is an creator.
creators,"	クリエイター",We found several creators.
recreate,"	再現",This is about recreate.
recreated,"	再現",I recreated the report.
recreates,"	再現",We found several recreates.
recreating,"	再現",They are recreating the results.
data,データ,This is about data.
define,定義する,This is about define.
definable,"	定義",This is about definable.
defined,"	定義",I defined the report.
defines,"	定義",We found several defines.
defining,"	定義",They are defining the results.
definition,"	定義",This is about definition.
definitions,"	定義",We found several definitions.
redefine,"	定義",This is about redefine.
redefined,"	定義",I redefined the report.
redefines,"	再",We found several redefines.
redefining,"	再",They are redefining the results.
undefined,"	未定義",I undefined the report.
derive,導き出す,This is about derive.
derivation,"	派生",This is about derivation.
derivations,"	派生",We found several derivations.
derivative,"	派生語",This is about derivative.
derivatives,"	誘導 体",We found several derivatives.
derived,"	派生",I derived the report.
derives,"	派生",We found several derives.
deriving,"	派生",They are deriving the results.
distribute,配る,This is about distribute.
distributed,"	分散",I distributed the report.
distributing,"	配布",They are distributing the results.
distribution,"	流通",This is about distribution.
distributional,"	分布",This is about distributional.
distributions,"	分布",We found several distributions.
distributive,"	分配",This is about distributive.
distributor,"	ディストリビューター",She is an distributor.
distributors,"	代理店",We found several distributors.
redistribute,"	再 分配",This is about redistribute.
redistributed,"	再 分配",I redistributed the report.
redistributes,"	再配布",We found several redistributes.
redistributing,"	再 分配",They are redistributing the results.
redistribution,"	再配分",This is about redistribution.
economy,経済,This is about economy.
economic,"	経済的",This is about economic.
economical,"	徳用",This is about economical.
economically,"	経済的",This is about economically.
economics,"	経済学",We found several economics.
economies,"	経済",We found several economies.
economist,"	エコノミスト",This is about economist.
economists,"	エコノミスト",We found several economists.
uneconomical,"	不経済",This is about uneconomical.
environment,環境,This is about environment.
environmental,"	環境",This is about environmental.
environmentalist,"	環境保護主義者",This is about environmentalist.
environmentalists,"	環境",We found several environmentalists.
environmentally,"	環境",This is about environmentally.
environments,"	環境",We found several environments.
establish,作る,This is about establish.
disestablish,"	ディスエスタブルメント",This is about disestablish.
disestablished,"	確立されていない",I disestablished the report.
disestablishes,"	ディスアソシエーション",We found several disestablishes.
disestablishing,"	ディスアスティッシング",They are disestablishing the results.
disestablishment,"	ディスエスタブリッシュメント",This is about disestablishment.
established,"	既成",I established the report.
establishes,"	確立",We found several establishes.
establishing,"	確立",They are establishing the results.
establishment,"	確立",This is about establishment.
establishments,"	施設",We found several establishments.
estimate,見積もる,This is about estimate.
estimated,"	推定",I estimated the report.
estimates,"	見積もり",We found several estimates.
estimating,"	推定",They are estimating the results.
estimation,"	推定",This is about estimation.
estimations,"	見積もり",We found several estimations.
over estimate,"	買い被る",This is about over estimate.
overestimate,"	買い被る",This is about overestimate.
overestimated,"	過大 評価",I overestimated the report.
overestimates,"	過大評価",We found several overestimates.
overestimating,"	過大 評価",They are overestimating the results.
underestimate,"	過小評価する",This is about underestimate.
underestimated,"	過小 評価",I underestimated the report.
underestimates,"	過小 評価",We found several underestimates.
underestimating,"	過小 評価",They are underestimating the results.
evident,明らか,This is about evident.
evidenced,"	証明",I evidenced the report.
evidence,"	証拠",This is about evidence.
evidential,"	証拠",This is about evidential.
evidently,"	明らかに",This is about evidently.
export,輸出,This is about export.
exported,"	エクスポート",I exported the report.
exporter,"	輸出",She is an exporter.
exporters,"	輸出 業者",We found several exporters.
exporting,"	エクスポート",They are exporting the results.
exports,"	輸出",We found several exports.
factor,因子,She is an factor.
factored,"	考慮",I factored the report.
factoring,"	ファクタリング",They are factoring the results.
factors,"	要因",We found several factors.
finance,金融,This is about finance.
financed,"	融資",I financed the report.
finances,"	金融",We found several finances.
financial,"	金融",This is about financial.
financially,"	財政",This is about financially.
financier,"	金融",She is an financier.
financiers,"	金融",We found several financiers.
financing,"	融資",They are financing the results.
formula,式,This is about formula.
formulae,"	式",This is about formulae.
formulas,"	数式",We found several formulas.
formulate,"	定式化する",This is about formulate.
formulated,"	策定",I formulated the report.
formulating,"	策定",They are formulating the results.
formulation,"	定式 化",This is about formulation.
formulations,"	製剤",We found several formulations.
reformulate,"	再定式化",This is about reformulate.
reformulated,"	再処方",I reformulated the report.
reformulating,"	再定式化",They are reformulating the results.
reformulation,"	改質",This is about reformulation.
reformulations,"	再定式化",We found several reformulations.
function,機能,This is about function.
functional,"	機能的な",This is about functional.
functionally,"	機能的",This is about functionally.
functioned,"	作用",I functioned the report.
functioning,"	機能",They are functioning the results.
functions,"	関数",We found several functions.
identify,識別する,This is about identify.
identifiable,"	識別",This is about identifiable.
identification,"	識別",This is about identification.
identified,"	識別",I identified the report.
identifies,"	識別",We found several identifies.
identifying,"	判明",They are identifying the results.
identities,"	アイデンティティ",We found several identities.
identity,"	同一性",This is about identity.
unidentifiable,"	正体 不明",This is about unidentifiable.
income,収入,This is about income.
incomes,"	収入",We found several incomes.
indicate,示す,This is about indicate.
indicated,"	示さ れた",I indicated the report.
indicates,"	示す",We found several indicates.
indicating,"	示す",They are indicating the results.
indication,"	表示",This is about indication.
indications,"	徴候",We found several indications.
indicative,"	直説法",This is about indicative.
indicator,"	インジケータ",She is an indicator.
indicators,"	指標",We found several indicators.
individual,個体,This is about individual.
individualised,"	個別化",I individualised the report.
individuality,"	個性",This is about individuality.
individualism,"	個人主義",This is about individualism.
individualist,"	インディビジュアリスト",This is about individualist.
individualists,"	個人主義者",We found several individualists.
individualistic,"	個人",This is about individualistic.
individually,"	個別的に",This is about individually.
individuals,"	個人",We found several individuals.
interpret,解釈する,This is about interpret.
interpretation,"	解釈",This is about interpretation.
interpretations,"	解釈",We found several interpretations.
interpretative,"	解釈",This is about interpretative.
interpreted,"	解釈",I interpreted the report.
interpreting,"	解釈",They are interpreting the results.
interpretive,"	解釈",This is about interpretive.
interprets,"	解釈",We found several interprets.
misinterpret,"	誤解",This is about misinterpret.
misinterpretation,"	誤解",This is about misinterpretation.
misinterpretations,"	誤解",We found several misinterpretations.
misinterpreted,"	誤って 解釈",I misinterpreted the report.
misinterpreting,"	誤って 解釈",They are misinterpreting the results.
misinterprets,"	誤解",We found several misinterprets.
reinterpret,"	解釈",This is about reinterpret.
reinterpreted,"	解釈",I reinterpreted the report.
reinterprets,"	再",We found several reinterprets.
reinterpreting,"	再",They are reinterpreting the results.
reinterpretation,"	解釈",This is about reinterpretation.
reinterpretations,"	再解釈",We found several reinterpretations.
involve,巻き込む,This is about involve.
involved,"	複雑",I involved the report.
involvement,"	関与",This is about involvement.
involves,"	含む",We found several involves.
involving,"	含む",They are involving the results.
uninvolved,"	関与していない",I uninvolved the report.
issue,発行,This is about issue.
issued,"	発行",I issued the report.
issues,"	問題",We found several issues.
issuing,"	発行",They are issuing the results.
labour,労働,This is about labour.
labor,"	労働",She is an labor.
labored,"	こじつけ",I labored the report.
labors,"	労働",We found several labors.
laboured,"	苦心",I laboured the report.
labouring,"	労働",They are labouring the results.
labours,"	労働",We found several labours.
legal,合法,This is about legal.
illegal,"	違法",This is about illegal.
illegality,"	違法",This is about illegality.
illegally,"	違法に",This is about illegally.
legality,"	合法",This is about legality.
legally,"	法的",This is about legally.
legislate,制定する,This is about legislate.
legislated,"	制定",I legislated the report.
legislates,"	立法府",We found several legislates.
legislating,"	立法",They are legislating the results.
legislation,"	法制",This is about legislation.
legislative,"	立法権",This is about legislative.
legislator,"	立法者",She is an legislator.
legislators,"	議員",We found several legislators.
legislature,"	立法府",This is about legislature.
major,少佐,She is an major.
majorities,"	大半",We found several majorities.
majority,"	過半数",This is about majority.
method,方式,This is about method.
methodical,"	几帳面",This is about methodical.
methodological,"	方法論",This is about methodological.
methodologies,"	方法",We found several methodologies.
methodology,"	方法論",This is about methodology.
methods,"	メソッド",We found several methods.
occur,起る,This is about occur.
occurred,"	発生",I occurred the report.
occurrence,"	発生",This is about occurrence.
occurrences,"	発生",We found several occurrences.
occurring,"	発生",They are occurring the results.
occurs,"	発生",We found several occurs.
reoccur,"	再発",This is about reoccur.
reoccurred,"	再発",I reoccurred the report.
reoccurring,"	再発",They are reoccurring the results.
reoccurs,"	再発",We found several reoccurs.
percent,パーセント,This is about percent.
percentage,"	百分率",This is about percentage.
percentages,"	割合",We found several percentages.
period,時代,This is about period.
periodic,"	周期的",This is about periodic.
periodical,"	定期刊行物",This is about periodical.
periodically,"	定期的",This is about periodically.
periodicals,"	雑誌",We found several periodicals.
periods,"	期間",We found several periods.
policy,政策,This is about policy.
policies,"	檄",We found several policies.
principle,原理,This is about principle.
principled,"	原則",I principled the report.
principles,"	原則",We found several principles.
unprincipled,"	無節操",I unprincipled the report.
proceed,進む,I proceed the report.
procedural,"	手続き型",This is about procedural.
procedure,"	プロシージャ",This is about procedure.
procedures,"	手続き",We found several procedures.
proceeded,"	進んだ",I proceeded the report.
proceeding,"	行程",They are proceeding the results.
proceedings,"	議事",We found several proceedings.
proceeds,"	収益",We found several proceeds.
process,過程,This is about process.
processed,"	処理",I processed the report.
processes,"	プロセス",We found several processes.
processing,"	加工",They are processing the results.
require,要する,This is about require.
required,"	必須",I required the report.
requirement,"	要件",This is about requirement.
requirements,"	必要条件",We found several requirements.
requires,"	必要",We found several requires.
requiring,"	必要",They are requiring the results.
research,研究,This is about research.
researched,"	研究",I researched the report.
researcher,"	研究員",She is an researcher.
researchers,"	研究",We found several researchers.
researches,"	研究",We found several researches.
